parameter,sparsity,top1,top5,loss
module.layer1.1.conv3.weight,0.9,75.638,92.638,0.9827888982028374
module.layer1.2.conv1.weight,0.0,76.13,92.862,0.9646787427517838
module.layer1.2.conv1.weight,0.05,76.132,92.862,0.9646782605927815
module.layer1.2.conv1.weight,0.1,76.132,92.862,0.964668357782826
module.layer1.2.conv1.weight,0.15000000000000002,76.132,92.864,0.964613412487872
module.layer1.2.conv1.weight,0.2,76.13799999999999,92.862,0.9646160951530446
module.layer1.2.conv1.weight,0.25,76.116,92.862,0.9645727240309422
module.layer1.2.conv1.weight,0.30000000000000004,76.104,92.868,0.9647763389713909
module.layer1.2.conv1.weight,0.35000000000000003,76.086,92.874,0.9647508590501184
module.layer1.2.conv1.weight,0.4,76.054,92.894,0.9652909909432034
module.layer1.2.conv1.weight,0.45,76.028,92.866,0.9657003388417009
module.layer1.2.conv1.weight,0.5,75.964,92.882,0.9662044467974679
module.layer1.2.conv1.weight,0.55,75.992,92.84400000000001,0.9664579110638225
module.layer1.2.conv1.weight,0.6000000000000001,75.958,92.804,0.9679528958335217
module.layer1.2.conv1.weight,0.65,75.876,92.792,0.9704939251651571
module.layer1.2.conv1.weight,0.7000000000000001,75.72,92.75,0.9742698974299191
module.layer1.2.conv1.weight,0.75,75.564,92.604,0.9861968416644603
module.layer1.2.conv1.weight,0.8,74.982,92.426,1.0062409767843021
module.layer1.2.conv1.weight,0.8500000000000001,74.044,91.838,1.0500963204065141
module.layer1.2.conv1.weight,0.9,71.72,90.568,1.153545655918365
module.layer1.2.conv2.weight,0.0,76.13,92.862,0.9646787427517838
module.layer1.2.conv2.weight,0.05,76.134,92.86,0.9647221229970452
module.layer1.2.conv2.weight,0.1,76.12,92.86,0.9647256903046251
module.layer1.2.conv2.weight,0.15000000000000002,76.114,92.85799999999999,0.9646277779675259
module.layer1.2.conv2.weight,0.2,76.12400000000001,92.848,0.9645704313048296
module.layer1.2.conv2.weight,0.25,76.118,92.85600000000001,0.9647706797232432
module.layer1.2.conv2.weight,0.30000000000000004,76.084,92.872,0.9649146517016453
module.layer1.2.conv2.weight,0.35000000000000003,76.078,92.86999999999999,0.9650853365963817
module.layer1.2.conv2.weight,0.4,76.114,92.866,0.965094818828665
module.layer1.2.conv2.weight,0.45,76.116,92.876,0.9653742212269983
module.layer1.2.conv2.weight,0.5,76.096,92.866,0.9656239567818692
module.layer1.2.conv2.weight,0.55,76.05,92.876,0.9669315449285267
module.layer1.2.conv2.weight,0.6000000000000001,75.942,92.80000000000001,0.9685506963608217
module.layer1.2.conv2.weight,0.65,75.884,92.774,0.9725348420289093
module.layer1.2.conv2.weight,0.7000000000000001,75.80799999999999,92.784,0.9743375078755979
module.layer1.2.conv2.weight,0.75,75.654,92.716,0.9796164095857922
module.layer1.2.conv2.weight,0.8,75.156,92.474,0.9945283662147669
module.layer1.2.conv2.weight,0.8500000000000001,75.05199999999999,92.36800000000001,0.9985637058104782
module.layer1.2.conv2.weight,0.9,74.396,91.996,1.0331165221880898
module.layer1.2.conv3.weight,0.0,76.13,92.862,0.9646787427517838
module.layer1.2.conv3.weight,0.05,76.13,92.862,0.9646767444756565
module.layer1.2.conv3.weight,0.1,76.128,92.85799999999999,0.9646839577020433
module.layer1.2.conv3.weight,0.15000000000000002,76.12400000000001,92.85799999999999,0.9646891396568749
module.layer1.2.conv3.weight,0.2,76.12400000000001,92.864,0.9646635662232127
module.layer1.2.conv3.weight,0.25,76.12400000000001,92.85799999999999,0.9646167475350055
module.layer1.2.conv3.weight,0.30000000000000004,76.12400000000001,92.86999999999999,0.9645829248641217
module.layer1.2.conv3.weight,0.35000000000000003,76.128,92.876,0.9645828873071135
module.layer1.2.conv3.weight,0.4,76.122,92.868,0.9646009764805136
module.layer1.2.conv3.weight,0.45,76.128,92.86999999999999,0.9646296052604306
module.layer1.2.conv3.weight,0.5,76.132,92.864,0.964632713673066
module.layer1.2.conv3.weight,0.55,76.13600000000001,92.854,0.9645509357963293
module.layer1.2.conv3.weight,0.6000000000000001,76.09,92.84599999999999,0.9649950611043947
module.layer1.2.conv3.weight,0.65,76.056,92.866,0.964741370735728
module.layer1.2.conv3.weight,0.7000000000000001,76.01,92.85799999999999,0.9657081496350618
module.layer1.2.conv3.weight,0.75,76.02,92.842,0.9669861696204364
module.layer1.2.conv3.weight,0.8,75.976,92.83399999999999,0.9695569783145066
module.layer1.2.conv3.weight,0.8500000000000001,75.806,92.814,0.9762867577373981
module.layer1.2.conv3.weight,0.9,75.40400000000001,92.592,0.9932016163912352
module.layer2.0.conv1.weight,0.0,76.13,92.862,0.9646787427517838
module.layer2.0.conv1.weight,0.05,76.134,92.85799999999999,0.9647347397950238
module.layer2.0.conv1.weight,0.1,76.152,92.866,0.9647061069096834
module.layer2.0.conv1.weight,0.15000000000000002,76.132,92.88,0.9644766646076226
module.layer2.0.conv1.weight,0.2,76.11,92.886,0.9649843798608196
module.layer2.0.conv1.weight,0.25,76.076,92.9,0.9654501746503673
module.layer2.0.conv1.weight,0.30000000000000004,76.024,92.886,0.9662043433256291
module.layer2.0.conv1.weight,0.35000000000000003,76.03,92.88,0.9668337458706632
module.layer2.0.conv1.weight,0.4,75.968,92.82000000000001,0.9686493690372732
module.layer2.0.conv1.weight,0.45,75.952,92.84599999999999,0.9688948773759967
module.layer2.0.conv1.weight,0.5,75.852,92.822,0.9728051754741035
module.layer2.0.conv1.weight,0.55,75.69399999999999,92.762,0.9784493745893849
module.layer2.0.conv1.weight,0.6000000000000001,75.566,92.69000000000001,0.9829132684639518
module.layer2.0.conv1.weight,0.65,75.47399999999999,92.584,0.9908273762890274
module.layer2.0.conv1.weight,0.7000000000000001,75.25800000000001,92.422,1.0025008465258451
module.layer2.0.conv1.weight,0.75,74.25399999999999,91.996,1.0385787368428951
module.layer2.0.conv1.weight,0.8,72.54,91.10199999999999,1.1175149201738597
module.layer2.0.conv1.weight,0.8500000000000001,65.82000000000001,86.228,1.476595426700553
module.layer2.0.conv1.weight,0.9,51.38199999999999,74.436,2.3220285457007743
module.layer2.0.conv2.weight,0.0,76.13,92.862,0.9646787427517838
module.layer2.0.conv2.weight,0.05,76.128,92.85799999999999,0.9646912905938771
module.layer2.0.conv2.weight,0.1,76.12,92.854,0.9647208164845197
module.layer2.0.conv2.weight,0.15000000000000002,76.094,92.854,0.9647615337554285
module.layer2.0.conv2.weight,0.2,76.114,92.85600000000001,0.9648373376350015
module.layer2.0.conv2.weight,0.25,76.098,92.83399999999999,0.9651305997858243
module.layer2.0.conv2.weight,0.30000000000000004,76.058,92.852,0.9651968460149908
module.layer2.0.conv2.weight,0.35000000000000003,76.042,92.85799999999999,0.9652801874492846
module.layer2.0.conv2.weight,0.4,76.03800000000001,92.814,0.9657691495150935
module.layer2.0.conv2.weight,0.45,76.028,92.82000000000001,0.9663706958598022
module.layer2.0.conv2.weight,0.5,76.008,92.83,0.9678798121001039
module.layer2.0.conv2.weight,0.55,75.89399999999999,92.774,0.9712816620511668
module.layer2.0.conv2.weight,0.6000000000000001,75.852,92.746,0.9750035099533134
module.layer2.0.conv2.weight,0.65,75.68599999999999,92.704,0.9810982497066869
module.layer2.0.conv2.weight,0.7000000000000001,75.444,92.562,0.9910190869502876
module.layer2.0.conv2.weight,0.75,75.21,92.47,1.0033275263802126
module.layer2.0.conv2.weight,0.8,74.478,92.072,1.0372916764142568
module.layer2.0.conv2.weight,0.8500000000000001,73.224,91.334,1.0945476252509627
module.layer2.0.conv2.weight,0.9,71.476,90.334,1.1731409372723827
module.layer2.0.conv3.weight,0.0,76.13,92.862,0.9646787427517838
module.layer2.0.conv3.weight,0.05,76.13,92.862,0.96467873431286
module.layer2.0.conv3.weight,0.1,76.13,92.862,0.9646787008612736
module.layer2.0.conv3.weight,0.15000000000000002,76.134,92.864,0.964683657626108
module.layer2.0.conv3.weight,0.2,76.12400000000001,92.854,0.9646348013561598
module.layer2.0.conv3.weight,0.25,76.12400000000001,92.864,0.9646207141328829
module.layer2.0.conv3.weight,0.30000000000000004,76.116,92.864,0.9647920731531116
module.layer2.0.conv3.weight,0.35000000000000003,76.128,92.864,0.9646483170134681
module.layer2.0.conv3.weight,0.4,76.092,92.86999999999999,0.9647970128120215
module.layer2.0.conv3.weight,0.45,76.094,92.886,0.964979649046246
module.layer2.0.conv3.weight,0.5,76.088,92.916,0.9652535031188507
module.layer2.0.conv3.weight,0.55,76.01,92.91199999999999,0.9654108482051869
module.layer2.0.conv3.weight,0.6000000000000001,76.01400000000001,92.85600000000001,0.9661615874846368
module.layer2.0.conv3.weight,0.65,75.968,92.838,0.967090741560167
module.layer2.0.conv3.weight,0.7000000000000001,75.91600000000001,92.824,0.969678290492418
module.layer2.0.conv3.weight,0.75,75.812,92.714,0.973520366056841
module.layer2.0.conv3.weight,0.8,75.658,92.75,0.9794596730902484
module.layer2.0.conv3.weight,0.8500000000000001,75.30799999999999,92.44600000000001,0.9987321077864999
module.layer2.0.conv3.weight,0.9,74.31,92.022,1.0368915754465426
module.layer2.0.downsample.0.weight,0.0,76.13,92.862,0.9646787427517838
module.layer2.0.downsample.0.weight,0.05,76.13,92.862,0.9646787427517838
module.layer2.0.downsample.0.weight,0.1,76.13,92.862,0.9646787413072826
module.layer2.0.downsample.0.weight,0.15000000000000002,76.132,92.86999999999999,0.9646589590274558
module.layer2.0.downsample.0.weight,0.2,76.12400000000001,92.85799999999999,0.9645873127999357
module.layer2.0.downsample.0.weight,0.25,76.094,92.878,0.9645080414353581
module.layer2.0.downsample.0.weight,0.30000000000000004,76.122,92.882,0.9644713226173605
module.layer2.0.downsample.0.weight,0.35000000000000003,76.108,92.882,0.9645915447297142
module.layer2.0.downsample.0.weight,0.4,76.078,92.878,0.9648299454426281
module.layer2.0.downsample.0.weight,0.45,76.088,92.872,0.9647358181525251
module.layer2.0.downsample.0.weight,0.5,76.058,92.85,0.9653445803085147
module.layer2.0.downsample.0.weight,0.55,76.032,92.84599999999999,0.9653735468734286
module.layer2.0.downsample.0.weight,0.6000000000000001,75.948,92.84400000000001,0.9665204604365389
